"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS3"
9751;617418;6155253;198104;1,119
9751;617418;6155253;198105;1,128
9751;617418;6155253;198106;0,858
9751;617418;6155253;198107;0,723
9751;617418;6155253;198108;0,528
9751;617418;6155253;198109;0,461
9751;617418;6155253;198110;0,381
9751;617418;6155253;198111;0,371
9751;617418;6155253;198112;0,435
9751;617418;6155253;198201;0,654
9751;617418;6155253;198202;0,941
9751;617418;6155253;198203;1,164
9751;617418;6155253;198204;1,151
9751;617418;6155253;198205;0,99
9751;617418;6155253;198206;0,774
9751;617418;6155253;198207;0,53
9751;617418;6155253;198208;0,425
9751;617418;6155253;198209;0,435
9751;617418;6155253;198210;0,5
9751;617418;6155253;198211;0,69
9751;617418;6155253;198212;0,882
9751;617418;6155253;198301;1,044
9751;617418;6155253;198302;1,031
9751;617418;6155253;198303;0,977
9751;617418;6155253;198304;0,942
